Ciqual AGB,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
18023,boissons,boissons sans alcool,"Boisson plate aux fruits (à moins de 10% de jus), sucrée","Fruit soft drink, still (less than 10% of fruit juice), with sugar",0.08479117400000001,0.56569913,4.2504146e-07,0.22490146,0.0021356895,5.5509981e-08,1.9290115e-10,2.1671744e-10,0.006365972,0.00010086122,0.0019831684,0.025273131,5.1008902,11.390905,0.65014817,11.104436,1.3190044e-05
18309,boissons,boissons sans alcool,"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée","Fruit soft drink, still (fruit juice content unspecified), with sugar",0.08479117400000001,0.56569913,4.2504146e-07,0.22490146,0.0021356895,5.5509981e-08,1.9290115e-10,2.1671744e-10,0.006365972,0.00010086122,0.0019831684,0.025273131,5.1008902,11.390905,0.65014817,11.104436,1.3190044e-05
18021,boissons,boissons sans alcool,"Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants","Fruit soft drink, still (less than 10% of fruit juice), without sugar and with artificial sweetener(s)",0.049788503,0.37696103,4.2233858e-07,0.22279214,0.0012418425,1.740746e-08,4.6486479e-09,1.5935742e-10,0.0012058954,5.1372394e-05,0.00034078889,0.0032162637,1.98212162,1.6975287,0.084830087,9.2522517,1.2177887e-05
18058,boissons,boissons sans alcool,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau","Syrup (mint, strawberries flavouredetc.), with sugar diluted in water",0.017973555,0.12470394,2.7463156e-09,0.020010384,0.00053323319,1.6200009e-08,-2.5155619e-10,5.4987989e-10,0.001777317,3.4153114e-05,0.00056113193,0.0072344555,1.87820219,4.171654,0.22090254,1.7256773,6.0386542e-07
18100,boissons,boissons sans alcool,"Cacao, non sucré, poudre soluble","Cocoa powder, without sugar, powder, instant, non rehydrated",1.4480735,29.098517,2.3183948e-07,0.50935588,0.051890833,4.0216678e-07,5.255855e-08,1.1733013e-08,0.03856451,0.0029857535,0.065401291,0.13108729,80.6311138,1053.8916,0.74236549,91.683884,1.1206198e-05
18151,boissons,boissons sans alcool,"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire","Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink",0.059254192,0.5346176,1.6824662e-08,0.10780179,0.0016707067,4.4491898e-08,1.2499612e-08,4.3705349e-10,0.0053321236,7.5119609e-05,0.0022585326,0.020953728,9.650521999999999,18.420581,0.29810762,5.9320058,1.8019118e-06
18072,boissons,boissons sans alcool,"Café décaféiné, instantané, non sucré, prêt à boire","Decaffeinated instant coffee, without sugar, ready-to-drink",0.22071194,1.6267129,3.7156245e-08,0.14583767,0.0061720378,1.78057e-07,8.1104937e-08,2.4751037e-09,0.020516786,0.00036227673,0.011227557,0.08250726,50.801491,52.661989,1.4901312,16.044715,6.3164252e-06
18070,boissons,boissons sans alcool,"Café décaféiné, non instantané, non sucré, prêt à boire","Decaffeinated not instant coffee, without sugar, ready-to-drink",0.099858629,0.68299076,1.996915e-08,0.10333757,0.0027936778,7.9352886e-08,3.8319214e-08,1.1646351e-09,0.0095335926,0.00013370639,0.0052373574,0.038475138,24.5315834,25.183542,0.61382942,7.2333658,3.292757e-06
18071,boissons,boissons sans alcool,"Café expresso, non instantané, non sucré, prêt à boire","Espresso coffee, not instant coffee, without sugar, ready-to-drink",0.096628873,0.63544651,1.839262e-08,0.10016648,0.0026986772,7.8467728e-08,3.7949442e-08,1.1542971e-09,0.0094209358,0.0001173312,0.005210268,0.038234703,24.4563175,25.132766,0.60035041,6.6368901,3.1594426e-06
18073,boissons,boissons sans alcool,"Café, instantané, non sucré, prêt à boire","Instant coffee, without sugar, ready-to-drink",0.21388481,1.5262128,3.3823743e-08,0.13913455,0.0059712235,1.7618594e-07,8.0323305e-08,2.4532511e-09,0.02027865,0.0003276625,0.011170295,0.081999026,50.642392,52.554658,1.461639,14.783872,6.0346226e-06
18003,boissons,boissons sans alcool,"Café, moulu","Coffee, ground",1.3983581,8.4022193,1.0618215e-07,0.18589985,0.036349313,1.2088471e-06,6.2192889e-07,1.8886111e-08,0.14971399,0.0017425681,0.086310256,0.63152543,391.15128,416.79042,9.7073931,54.427824,4.2074679e-05
18004,boissons,boissons sans alcool,"Café, non instantané, non sucré, prêt à boire","Not instant coffee, without sugar, ready-to-drink",0.096628873,0.63544651,1.839262e-08,0.10016648,0.0026986772,7.8467728e-08,3.7949442e-08,1.1542971e-09,0.0094209358,0.0001173312,0.005210268,0.038234703,24.4563175,25.132766,0.60035041,6.6368901,3.1594426e-06
18162,boissons,boissons sans alcool,"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)","Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with water)",0.42285464,4.4834045,2.376461e-07,0.55719294,0.014973582,3.1914318e-07,7.64648e-08,2.5607704e-09,0.034327425,0.00049579818,0.012477992,0.12074984,68.334495,93.463264,1.4622693,51.498415,9.4155989e-06
18153,boissons,boissons sans alcool,"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)","Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)",0.24903679,2.2445179,6.0436664e-08,0.26018538,0.0061286186,2.0387538e-07,5.9532767e-08,2.0135999e-09,0.024334175,0.00035320674,0.0099407396,0.10013151,42.65248099999999,85.165094,1.0877094,20.552452,6.7428332e-06
18161,boissons,boissons sans alcool,"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)","Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk)",0.13046194,1.3671757,3.4138154e-08,0.17888791,0.0027746974,1.1122051e-07,1.5808922e-08,6.4642889e-10,0.014368576,0.00013684946,0.0038972338,0.06058961,14.9561779,57.986066,0.22349637,10.773322,3.3460363e-06
18152_1,boissons,boissons sans alcool,"Chicorée, poudre soluble, non réhydratée","Chicory, powder, instant, non rehydrated",0.97315883,7.866579,3.927338e-07,9.8543231,0.02301041,3.7412282e-07,6.496353e-08,4.2881766e-09,0.033482277,0.0010499116,0.015760232,0.095729211,62.714714,150.97148,1.4233443,280.73198,2.7985554e-05
18152_2,boissons,boissons sans alcool,"Chicorée, poudre soluble, réhydratée","Chicory, powder, instant, ready-to-drink",0.023414166,0.16573925,8.1716721e-09,0.26180945,0.00049500141,8.1332004e-09,1.8849556e-09,1.0028214e-10,0.00073614265,2.53637e-05,0.00032454359,0.0020051586,1.32497083,3.0371463,0.038969149,7.0281761,1.0748822e-06
18220,boissons,boissons sans alcool,"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés","Lemon or lime base, for beverage, without sugar (to be diluted)",0.077822335,0.59567264,1.3766324e-08,0.12455683,0.0027737168,5.2069778e-08,1.2068984e-08,3.7040989e-09,0.0045294542,0.00016981298,0.0010576879,0.016154911,26.073384,30.351598,0.34191795,9.1635298,2.7815406e-06
18060,boissons,boissons sans alcool,"Cola, non sucré, avec édulcorants","Cola, without sugar and with artificial sweetener(s)",0.07100011,0.49334027,4.2469138e-07,0.22420369,0.0018828073,3.4925298e-08,5.9442166e-09,2.6287051e-10,0.0036141458,8.0833941e-05,0.0010155102,0.013230439,10.4606514,13.214519,0.30746082,10.404685,1.2861118e-05
18068,boissons,boissons sans alcool,"Cola, non sucré, avec édulcorants, sans caféine","Cola, without sugar, with artificial sweetener(s) and with caffeine",0.07100011,0.49334027,4.2469138e-07,0.22420369,0.0018828073,3.4925298e-08,5.9442166e-09,2.6287051e-10,0.0036141458,8.0833941e-05,0.0010155102,0.013230439,10.4606514,13.214519,0.30746082,10.404685,1.2861118e-05
18018,boissons,boissons sans alcool,"Cola, sucré","Cola, with sugar",0.07100011,0.49334027,4.2469138e-07,0.22420369,0.0018828073,3.4925298e-08,5.9442166e-09,2.6287051e-10,0.0036141458,8.0833941e-05,0.0010155102,0.013230439,10.4606514,13.214519,0.30746082,10.404685,1.2861118e-05
18037,boissons,boissons sans alcool,"Cola, sucré, avec édulcorants","Cola, with sugar and artificial sweetener(s)",0.07100011,0.49334027,4.2469138e-07,0.22420369,0.0018828073,3.4925298e-08,5.9442166e-09,2.6287051e-10,0.0036141458,8.0833941e-05,0.0010155102,0.013230439,10.4606514,13.214519,0.30746082,10.404685,1.2861118e-05
