0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11093,19,"Aneth, frais","Dill, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11033,19,"Basilic, frais","Basil, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11032,19,"Basilic, séché","Basil, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
11002,19,"Cerfeuil, frais","Chervil, fresh",0.12872638,0.87885579,8.2938868e-09,0.086728603,0.0026085227,6.9189629e-08,1.2313772e-08,3.5580281e-10,0.007614646,0.00015147342,0.0039710176,0.030321656,5.8384534,35.120747,5.1558959,12.436291,3.7502898e-06
11003,19,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",0.06830631399999999,0.73932146,1.0185649e-08,0.12300805,0.0017422081,3.1988047e-08,9.0464197e-09,3.6746154e-10,0.0023663335,9.4789984e-05,0.0022533691,0.0066905811,5.373284,18.949744,0.69916738,12.114524,3.5083167e-06
11094,19,"Coriandre, fraiche","Coriander, fresh",0.10575908,1.0274157,9.8140513e-09,0.082754045,0.0041855923,4.6073055e-08,1.5231637e-08,3.9380455e-10,0.0052097353,0.00012319583,0.0043042576,0.01594257,24.520611,11.520084,1.3136264,14.66146,4.9467171e-06
11092,19,"Estragon, frais","Tarragon, fresh",0.11169911,0.73468956,7.212716e-09,0.076280686,0.0022548933,6.0607253e-08,1.0436475e-08,3.0409926e-10,0.0066764866,0.00012666226,0.0034496312,0.026579024,4.9580396,30.884546,4.5359682,10.919695,3.2944635e-06
11034,19,"Marjolaine, séchée","Marjoram, dried",0.46353808,2.5754224,1.7825669e-07,0.32128266,0.010771374,2.6599385e-07,4.3372435e-08,1.1806562e-09,0.032036083,0.00054532118,0.016133807,0.12365043,31.5265838,141.55438,20.1815,35.355556,1.0438711e-05
51500,19,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),0.24193162000000001,2.1772905,1.8390498e-07,0.48746455,0.0079813085,1.308376e-07,1.2385812e-07,2.0633939e-09,0.011802891,0.00028873038,0.0054977573,0.034077452,28.8568124,27.527309,1.9893135,40.497986,1.1146082e-05
11027,19,"Menthe, fraîche","Mint, fresh",0.11169911,0.73468956,7.212716e-09,0.076280686,0.0022548933,6.0607253e-08,1.0436475e-08,3.0409926e-10,0.0066764866,0.00012666226,0.0034496312,0.026579024,4.9580396,30.884546,4.5359682,10.919695,3.2944635e-06
