"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
ce07ed6a-ee87-dacc-cb76-32c98b6add32;;;"Product flow";;;;1;kg
8e996299-2bc0-0c03-f88d-fb84751ef167;;;"Product flow";;;;1;kg
34a3b7cd-e507-1348-2d70-216ce28b5364;;;"Product flow";;;;1;kg
43b19f25-1a3e-68e8-bf87-2442ac110343;;;"Product flow";;;;1;kg
388170dc-7baf-750e-17d2-ac5b6d4a9e07;;;"Product flow";;;;1;kg
d7cc4493-5e50-ae5c-e106-5a52efb005d7;;;"Product flow";;;;1;kg
8367b84b-965d-ad4e-6a43-bd87b79e978b;;;"Product flow";;;;1;kg
3a19e038-cd8b-89bd-23ea-ac56cf4eac5c;;;"Product flow";;;;1;kg
0da038c8-c8ed-4ff8-ccc5-12e798a00873;;;"Product flow";;;;1;t*km
a08452b6-990d-1b94-f915-d0c9d1d061e9;;;"Product flow";;;;1;kg
4974d9fb-a209-bf08-82ce-bef0b42be3c0;;;"Product flow";;;;1;kg
777a7697-2617-b7c8-85f8-2b1caa4ba476;;;"Product flow";;;;1;kg
7d420f64-2061-7dd1-b0b7-0d16cb1e9412;;;"Product flow";;;;1;kg
fd31deb3-3c2c-5e17-e2f9-0ca28f5d2d44;;;"Product flow";;;;1;kg
d2ce933b-12c4-4c01-26a2-5aca4a6ea53b;;;"Product flow";;;;1;kg
9965f418-e200-bccb-159b-62bf444ad6e2;;;"Product flow";;;;1;kg
e3718f25-1d5c-aa26-bf82-787b28d99876;;;"Product flow";;;;1;kg
d305b1d3-0d2a-ad06-7d62-9b66987cfafc;;;"Product flow";;;;1;kg
a3a9b2d2-cc19-93fe-a20f-5bc680397dc7;;;"Product flow";;;;1;kg
7fa582de-0ccc-3676-1467-c335934608b7;;;"Product flow";;;;1;kg
b12eaa43-5670-2457-a001-56366175440d;;;"Product flow";;;;1;kg
1dc3d7cd-f8a6-cfb0-83dc-7d734484f1ee;;;"Product flow";;;;1;kg
e96f2d0c-de79-4572-a432-0bc61d32d36a;"electricity from waste incineration";;"Product flow";;;;1;MJ
4f19ca0f-7b3b-11dd-ad8b-0800200c9a66;nitrogen;;"Product flow";;;;1;kg
144dffce-b91c-4a97-987e-095307ee6026;"Continuous filament glass fibre";;"Product flow";;;;1;kg
a6746528-4c8a-4ff5-a2c6-ea60f8a5963f;feed;;"Product flow";;;;1;kg
4f19a2f8-7b3b-11dd-ad8b-0800200c9a66;"light fuel oil";;"Product flow";;;;1;kg
4f19f114-7b3b-11dd-ad8b-0800200c9a66;"polycarbonate granulate (PC)";;"Product flow";;;;1;kg
bf5e6d18-8793-4d8e-a096-e9e67e290fbc;"Sludge (from processing)";;"Product flow";;;;1;kg
4f19a302-7b3b-11dd-ad8b-0800200c9a66;heat;;"Product flow";;;;1;MJ
